CORRECT ANNOTATION	1373testb	Wolverhampton	Wolverhampton Wanderers F.C.	Wolverhampton
global=0.355	0.325
local(<e, ctx>)=0.371	-0.091
log p(e|m)=-2.273	-0.033
league[0.043]; league[0.043]; Charlton[0.043]; Blackburn[0.043]; Hull[0.043]; matches[0.043]; Sunderland[0.042]; Oxford[0.042]; Leicester[0.042]; Leeds[0.042]; Middlesbrough[0.042]; Bolton[0.042]; Manchester[0.042]; League[0.042]; Southampton[0.041]; Coventry[0.041]; Luton[0.041]; Birmingham[0.041]; Sheffield[0.040]; Sheffield[0.040]; Cambridge[0.040]; Enfield[0.040]; Barnsley[0.040]; Portsmouth[0.040]; 

CORRECT ANNOTATION	1373testb	Manchester City	Manchester City F.C.	Portsmouth F.C.
global=0.350	0.338
local(<e, ctx>)=0.418	0.406
log p(e|m)=0.000	-1.100
Portsmouth[0.043]; league[0.043]; league[0.043]; Charlton[0.043]; Sunderland[0.043]; Southampton[0.043]; League[0.043]; Blackburn[0.042]; matches[0.042]; Hull[0.042]; Liverpool[0.042]; Middlesbrough[0.042]; Chelsea[0.041]; United[0.041]; United[0.041]; Arsenal[0.041]; Bolton[0.041]; Coventry[0.041]; Birmingham[0.041]; Sheffield[0.041]; Sheffield[0.041]; Tottenham[0.040]; Division[0.040]; Norwich[0.040]; 

CORRECT ANNOTATION	1373testb	Stockport	Stockport County F.C.	Stockport
global=0.356	0.324
local(<e, ctx>)=0.407	-0.042
log p(e|m)=-2.526	-0.308
Hull[0.043]; Watford[0.043]; Preston[0.043]; County[0.043]; Scunthorpe[0.042]; Gillingham[0.042]; York[0.042]; Portsmouth[0.042]; Burnley[0.042]; Blackpool[0.042]; Sheffield[0.042]; Walsall[0.042]; Brentford[0.041]; Wrexham[0.041]; Enfield[0.041]; Cardiff[0.041]; United[0.041]; United[0.041]; Chesterfield[0.041]; Peterborough[0.041]; Tranmere[0.041]; Oldham[0.041]; Bristol[0.041]; Crewe[0.040]; 

CORRECT ANNOTATION	1373testb	Sheffield Wednesday	Sheffield Wednesday F.C.	Sheffield United F.C.
global=0.362	0.353
local(<e, ctx>)=0.363	0.350
log p(e|m)=0.000	-1.097
league[0.046]; league[0.046]; Sheffield[0.044]; League[0.044]; matches[0.043]; Charlton[0.042]; Blackburn[0.042]; Cup[0.042]; Cup[0.042]; Manchester[0.042]; Coventry[0.042]; Southampton[0.041]; Sunderland[0.041]; Portsmouth[0.041]; Middlesbrough[0.041]; Sunday[0.041]; Saturday[0.041]; English[0.040]; English[0.040]; Birmingham[0.040]; Norwich[0.040]; Bolton[0.040]; Ipswich[0.040]; Leeds[0.040]; 

CORRECT ANNOTATION	1373testb	Barnet	Barnet F.C.	Barnet
global=0.362	0.318
local(<e, ctx>)=0.371	-0.134
log p(e|m)=-0.679	-1.162
Southampton[0.044]; Wycombe[0.044]; Burnley[0.043]; Barnsley[0.043]; Chesterfield[0.042]; Brentford[0.042]; Oxford[0.042]; Norwich[0.042]; Stevenage[0.042]; Southend[0.042]; Oldham[0.042]; Peterborough[0.041]; Rochdale[0.041]; Charlton[0.041]; Walsall[0.041]; Enfield[0.041]; Portsmouth[0.041]; Leeds[0.041]; Sunderland[0.041]; Luton[0.041]; Grimsby[0.041]; Blackpool[0.040]; Preston[0.040]; Watford[0.040]; 

CORRECT ANNOTATION	1373testb	Wycombe	Wycombe Wanderers F.C.	High Wycombe
global=0.363	0.315
local(<e, ctx>)=0.436	-0.015
log p(e|m)=-1.146	-1.858
Enfield[0.044]; Southampton[0.044]; Charlton[0.043]; Watford[0.043]; Hull[0.042]; Brentford[0.042]; Portsmouth[0.042]; Scunthorpe[0.042]; Preston[0.042]; Barnsley[0.042]; Sunderland[0.041]; Burnley[0.041]; Walsall[0.041]; Gillingham[0.041]; Oxford[0.041]; Ipswich[0.041]; Crewe[0.041]; Chesterfield[0.041]; Stockport[0.041]; Swindon[0.041]; Town[0.041]; Town[0.041]; Sheffield[0.041]; Sheffield[0.041]; 

CORRECT ANNOTATION	1373testb	Derby	Derby County F.C.	Derby
global=0.350	0.328
local(<e, ctx>)=0.397	-0.029
log p(e|m)=-3.689	-0.408
Oldham[0.044]; Wolverhampton[0.044]; Charlton[0.043]; Southampton[0.043]; matches[0.043]; league[0.043]; league[0.043]; Blackburn[0.042]; Norwich[0.042]; Coventry[0.042]; Sunderland[0.042]; Portsmouth[0.041]; League[0.041]; Middlesbrough[0.041]; Birmingham[0.041]; Manchester[0.041]; Barnsley[0.041]; Swindon[0.041]; Ipswich[0.041]; Sheffield[0.041]; Sheffield[0.041]; Oxford[0.040]; Bolton[0.040]; Southend[0.040]; 

CORRECT ANNOTATION	1373testb	Sunderland	Sunderland A.F.C.	Alan Sunderland
global=0.353	0.311
local(<e, ctx>)=0.332	-0.020
log p(e|m)=-0.396	-3.730
Charlton[0.043]; Coventry[0.043]; Southampton[0.043]; Oxford[0.043]; Blackburn[0.043]; league[0.043]; league[0.043]; Manchester[0.043]; Middlesbrough[0.042]; Norwich[0.042]; Grimsby[0.042]; Ipswich[0.041]; Portsmouth[0.041]; League[0.041]; Cambridge[0.041]; Liverpool[0.041]; London[0.041]; Barnsley[0.041]; Sheffield[0.041]; Sheffield[0.041]; Bristol[0.041]; Southend[0.041]; matches[0.040]; Bolton[0.040]; 

CORRECT ANNOTATION	1373testb	Peterborough	Peterborough United F.C.	Peterborough
global=0.355	0.325
local(<e, ctx>)=0.424	-0.043
log p(e|m)=-3.170	-0.250
Hull[0.043]; Preston[0.043]; Manchester[0.043]; Charlton[0.043]; Portsmouth[0.042]; Norwich[0.042]; Watford[0.042]; Ipswich[0.042]; Enfield[0.042]; Gillingham[0.042]; Sheffield[0.042]; Stockport[0.041]; Scunthorpe[0.041]; Wolverhampton[0.041]; Burnley[0.041]; Luton[0.041]; Swindon[0.041]; Oldham[0.041]; Carlisle[0.041]; Walsall[0.041]; United[0.041]; United[0.041]; Chesterfield[0.041]; Brentford[0.041]; 

CORRECT ANNOTATION	1373testb	Rochdale	Rochdale A.F.C.	Rochdale Hornets
global=0.359	0.328
local(<e, ctx>)=0.417	0.340
log p(e|m)=-0.952	-2.900
